userId,characterName,cardCode,cardEffort,recoveryDate
316247478405955584.00000,Zhongli,qzfhmb,80,
452129115575943168.00000,Isla,0qbwcq,79,
452129115575943168.00000,Nao Tomori,vrxg6q,79,
321284717427294208.00000,Ishtar,hkhnsc,79,
,Leone,q0jjsv,79,
121671514410975232.00000,Kinoko Komori,h44f6b,79,
191412938492477440.00000,Sakura Miko,0b3xp4,79,
191412938492477440.00000,Park Ilpyo,qbn8rc,78,
452129115575943168.00000,Inuyasha,0ftv0c,78,
292730384016474112.00000,Tobio Kageyama,qllrv5,78,
121671514410975232.00000,Gilgamesh,qkclm2,78,
191412938492477440.00000,Ruka Sarashina,0hk1z1,78,
121671514410975232.00000,Tooru Oikawa,hj8kbn,78,
,Xiao,qz11j0,76,
121671514410975232.00000,Watchdog Man,qrfmck,76,
146321803797725184.00000,Jang Jangmi,q4vr36,76,
130401447052443648.00000,Goku Black,qzh1s7,76,
121671514410975232.00000,Rogue,hnh92g,76,
146321803797725184.00000,Stitch,qgv7fc,76,
191412938492477440.00000,Usagi Tsukino,0lg579,76,
,Izuku Midoriya,07nl81,76,
452129115575943168.00000,Jean Pierre Polnareff,v125fk,75,
,Albedo,qk0k9t,75,
,Senkuu,qnl811,75,
423991187326894080.00000,Crow,qqfw46,75,
121671514410975232.00000,Nagisa Hazuki,0drjm6,74,
,Zenitsu Agatsuma,q5lk53,74,
,Umaru Doma,0ztj7k,74,
371042880078348160.00000,Noelle Silva,09jrxl,74,
321284717427294208.00000,Teuchi,q9md96,73,
191412938492477440.00000,Camilla,q9ptg1,73,
121671514410975232.00000,Sonia,qb1kqs,73,
,Motoya Komori,q4c6pl,73,
121671514410975232.00000,Kisuke Urahara,0sxztl,73,
,Ganyu,q1c2v5,73,
121671514410975232.00000,Takeshi Aiza,0ctk7v,73,
191412938492477440.00000,Keqing,v704mh,72,1617889273.31100
191412938492477440.00000,Xingqiu,qxxkgw,72,1617873163.19200
121671514410975232.00000,Nana Hiiragi,q49jb2,71,
191412938492477440.00000,Yuri,0q35d5,71,1616534083.30300
121671514410975232.00000,Maria Takayama,h1bjzp,71,
452129115575943168.00000,Noriaki Kakyoin,08s3t3,71,
,Yu Narukami,q9nhc0,71,
371042880078348160.00000,Robin Hood,q22hzp,71,
371042880078348160.00000,Kurisu Makise,0wz3nt,71,
,Riku Nanase,q5n8v4,70,
191412938492477440.00000,Jean,0h48hp,70,1617373726.11400
,Uruha Rushia,q8vmpd,70,
121671514410975232.00000,Rintaro Okabe,h48c2w,70,
321284717427294208.00000,Sasuke's Susanoo,q10g1q,70,
192137381627822080.00000,Yuno,046f20,70,
191412938492477440.00000,Mami Nanami,0t8xsd,70,
191412938492477440.00000,Gino Weinberg,hwhw9n,70,
,Zack,0xn0b8,69,
146321803797725184.00000,Sailor Saturn,qgt81p,69,
121671514410975232.00000,Kaname Tousen,hxg1q2,69,
146321803797725184.00000,Paimon,h4th5x,68,1618835054.77800
121671514410975232.00000,Kenma Kozume,qnlw0c,68,
121671514410975232.00000,Koutarou Tokura,hjr7p2,68,
121671514410975232.00000,Lisa Lisa,qhkvsg,68,
778272479302516608.00000,Obanai Iguro,v0l20s,67,1616497506.93200
130401447052443648.00000,Usada Pekora,hmkvhm,67,1618133423.68700
371042880078348160.00000,Captain Falcon,qjjxlm,66,
,Mega Rayquaza,qk1vlv,66,
191412938492477440.00000,Bengal Bananya,qdjr6r,66,
371042880078348160.00000,Uruha Rushia,qzpqzv,66,
,Kisuke Urahara,qkbdg0,66,
,Shea Haulia,q0w7gf,66,
,Shiro,v9kd4z,66,1614290481.37700
,Shiki Tademaru,qjbcxk,66,
,Tamaki Suoh,q4c648,65,
,Mash Kyrielight,q47cjs,65,
191412938492477440.00000,Sailor Chibi Moon,q5hz4n,65,
,Monika,qr8bt5,65,
191412938492477440.00000,George Ushiromiya,hh73ft,65,
121671514410975232.00000,Alfred Jarvis Pennyworth,qwgxq9,65,
,The World,qzkv4q,65,
,Vinegar Doppio,q1g7f8,65,
121671514410975232.00000,Tiger,hzb7j7,65,
121671514410975232.00000,Stamp Cat,q469tj,64,
,Pain,0z84q7,64,1615036849.42500
191412938492477440.00000,Rimuru Tempest,qj1819,64,
321284717427294208.00000,Kumakyu,hvzhg8,64,
146321803797725184.00000,Yuusei Fudou,qhp640,64,
,Donald Duck,qbvkh0,64,
130401447052443648.00000,Reginn,qmkhzc,63,
191412938492477440.00000,Sailor Mars,qx784t,63,1617678870.58800
,Nishio Nishiki,q9nds7,63,1614793491.51500
121671514410975232.00000,Iris's Axew,hjgjnp,63,
121671514410975232.00000,Osamu Miya,20nlxp,62,1618796177.21400
168463671666671616.00000,Hisoka,q283ql,62,1614691196.37200
121671514410975232.00000,Nifa,qrwrp0,61,
,Azura,q24f90,61,
191412938492477440.00000,Xiangling,0qbm7w,61,1617028419.17900
89475384986312704.00000,Maki Nishikino,q96l29,61,
452129115575943168.00000,Kyoya Ootori,vdnc80,60,
191412938492477440.00000,Emilia,h9zhvf,60,
,Lipia Zancale,737,60,
371042880078348160.00000,Iruka Umino,qjnntm,60,
,Silver Chariot,07dq8w,60,
,Moomin,qjnl0d,60,
121671514410975232.00000,Alfonse,q2cnq6,60,
130401447052443648.00000,Natsu Dragneel,z2q9z,60,1618567828.82700
191412938492477440.00000,Calcifer,vp5k74,59,
321284717427294208.00000,Houndoom,qgt8n5,59,
191412938492477440.00000,Zeniba,qq1xz2,59,
146321803797725184.00000,Cloud Strife,qx3s66,59,1618316671.03400
146321803797725184.00000,Gendo Ikari,06lhvm,59,
191412938492477440.00000,Ponyo,q141gb,59,
191412938492477440.00000,Sailor Moon,qxs47c,59,1617971984.94000
121671514410975232.00000,Nagato,qn78bm,59,
371042880078348160.00000,Makoto Yuuki,0kvhcp,59,
,Link,qjwd44,58,
146321803797725184.00000,Mary Saotome,2hc0kc,58,
191412938492477440.00000,Sinon,6rpct,58,1616625180.52500
121671514410975232.00000,Yuzu,htmk29,58,
146321803797725184.00000,Goblin Slayer,q7ln52,58,1617410633.02900
,Nakime,qqjfhp,56,
130401447052443648.00000,Mikoto Urabe,0c0kc5,56,
707483431692402688.00000,Tooru Oikawa,jrpq3,56,1614832126.35400
321284717427294208.00000,Arukanu,qtqtll,56,
,Wolt,066lhm,56,
146321803797725184.00000,Souma Yukihira,q5xbxl,56,1618316696.06900
,Glaceon,qhnx05,56,
191412938492477440.00000,Midari Ikishima,qf837p,56,
130401447052443648.00000,Subaru Natsuki,hwd5bh,55,
321284717427294208.00000,Solf J. Kimblee,hqbz9m,55,
121671514410975232.00000,Dio Brando,q493v0,55,1618236843.15000
321284717427294208.00000,Momo Kashiwabara,q64flt,55,
121671514410975232.00000,Kiris,h44f65,55,
,Pingu's Grandfather,0cq46z,55,
191412938492477440.00000,Shiro,q88565,55,1617702643.77400
,Hanako,4kjzb,55,1615501439.33900
191412938492477440.00000,Hello Kitty,qxzwm8,55,
,Mona,vtjg4q,54,1613790830.58800
191412938492477440.00000,Kanao Tsuyuri,vf9bf9,54,1615111120.68000
371042880078348160.00000,Mei Kusakabe,q126xf,54,
191412938492477440.00000,Eri,vw7b0g,54,
191412938492477440.00000,Kazuya Kinoshita,q3b702,54,
168463671666671616.00000,Meliodas,ll9fp,54,1615209621.54300
191412938492477440.00000,Schwi Dola,0s7frn,54,
146321803797725184.00000,Xinyan,h867vf,54,1618666488.22300
192137381627822080.00000,Fumi Hoshiya,q9130r,54,
191412938492477440.00000,Mai Sakurajima,vgcqhz,54,1616412649.59600
130401447052443648.00000,Natsuki Minamiya,qfq6d1,54,
146321803797725184.00000,Dark Magician Girl,q0b07f,53,
121671514410975232.00000,Tadashi Yamaguchi,h6q74v,53,1619349652.32000
366290750301798400.00000,Shiro,0zrpf6,53,1615642866.36000
121671514410975232.00000,Shouko Nishimiya,q537hs,53,
321284717427294208.00000,Sayuri Hanayori,qzfg18,53,
146321803797725184.00000,Lilith Asami,qj7775,53,
371042880078348160.00000,Ling Yao,vl593b,53,
